sSecurityName,dtDate,dLastTradePrice
CDI,03/12/2019,4.9
CDI,02/12/2019,4.9
CDI,29/11/2019,4.9
CDI,28/11/2019,4.9
CDI,27/11/2019,4.9
CDI,26/11/2019,4.9
CDI,25/11/2019,4.9
CDI,22/11/2019,4.9
CDI,21/11/2019,4.9
CDI,20/11/2019,4.9
CDI,19/11/2019,4.9
CDI,18/11/2019,4.9
CDI,14/11/2019,4.9
CDI,13/11/2019,4.9
CDI,12/11/2019,4.9
CDI,11/11/2019,4.9
CDI,08/11/2019,4.9
CDI,07/11/2019,4.9
CDI,06/11/2019,4.9
CDI,05/11/2019,4.9
CDI,04/11/2019,4.9
CDI,01/11/2019,4.9
CDI,31/10/2019,4.9
CDI,30/10/2019,5.4
CDI,29/10/2019,5.4
CDI,28/10/2019,5.4
CDI,25/10/2019,5.4
CDI,24/10/2019,5.4
CDI,23/10/2019,5.4
CDI,22/10/2019,5.4
CDI,21/10/2019,5.4
CDI,18/10/2019,5.4
CDI,17/10/2019,5.4
CDI,16/10/2019,5.4
CDI,15/10/2019,5.4
CDI,14/10/2019,5.4
CDI,11/10/2019,5.4
CDI,10/10/2019,5.4
CDI,09/10/2019,5.4
CDI,08/10/2019,5.4
CDI,07/10/2019,5.4
CDI,04/10/2019,5.4
CDI,03/10/2019,5.4
CDI,02/10/2019,5.4
CDI,01/10/2019,5.4
CDI,30/09/2019,5.4
CDI,27/09/2019,5.4
CDI,26/09/2019,5.4
CDI,25/09/2019,5.4
CDI,24/09/2019,5.4
CDI,23/09/2019,5.4
CDI,20/09/2019,5.4
CDI,19/09/2019,5.4
CDI,18/09/2019,5.9
CDI,17/09/2019,5.9
CDI,16/09/2019,5.9
CDI,13/09/2019,5.9
CDI,12/09/2019,5.9
CDI,11/09/2019,5.9
CDI,10/09/2019,5.9
CDI,09/09/2019,5.9
CDI,06/09/2019,5.9
CDI,05/09/2019,5.9
CDI,04/09/2019,5.9
CDI,03/09/2019,5.9
CDI,02/09/2019,5.9
CDI,30/08/2019,5.9
CDI,29/08/2019,5.9
CDI,28/08/2019,5.9
CDI,27/08/2019,5.9
CDI,26/08/2019,5.9
CDI,23/08/2019,5.9
CDI,22/08/2019,5.9
CDI,21/08/2019,5.9
CDI,20/08/2019,5.9
CDI,19/08/2019,5.9
CDI,16/08/2019,5.9
CDI,15/08/2019,5.9
CDI,14/08/2019,5.9
CDI,13/08/2019,5.9
CDI,12/08/2019,5.9
CDI,09/08/2019,5.9
CDI,08/08/2019,5.9
CDI,07/08/2019,5.9
CDI,06/08/2019,5.9
CDI,05/08/2019,5.9
CDI,02/08/2019,5.9
CDI,01/08/2019,5.9
CDI,31/07/2019,6.4
CDI,30/07/2019,6.4
CDI,29/07/2019,6.4
CDI,26/07/2019,6.4
CDI,25/07/2019,6.4
CDI,24/07/2019,6.4
CDI,23/07/2019,6.4
CDI,22/07/2019,6.4
CDI,19/07/2019,6.4
CDI,18/07/2019,6.4
CDI,17/07/2019,6.4
CDI,16/07/2019,6.4
CDI,15/07/2019,6.4
CDI,12/07/2019,6.4
CDI,11/07/2019,6.4
CDI,10/07/2019,6.4
CDI,09/07/2019,6.4
CDI,08/07/2019,6.4
CDI,05/07/2019,6.4
CDI,04/07/2019,6.4
CDI,03/07/2019,6.4
CDI,02/07/2019,6.4
CDI,01/07/2019,6.4
CDI,28/06/2019,6.4
CDI,27/06/2019,6.4
CDI,26/06/2019,6.4
CDI,25/06/2019,6.4
CDI,24/06/2019,6.4
CDI,21/06/2019,6.4
CDI,19/06/2019,6.4
CDI,18/06/2019,6.4
CDI,17/06/2019,6.4
CDI,14/06/2019,6.4
CDI,13/06/2019,6.4
CDI,12/06/2019,6.4
CDI,11/06/2019,6.4
CDI,10/06/2019,6.4
CDI,07/06/2019,6.4
CDI,06/06/2019,6.4
CDI,05/06/2019,6.4
CDI,04/06/2019,6.4
CDI,03/06/2019,6.4
CDI,31/05/2019,6.4
CDI,30/05/2019,6.4
CDI,29/05/2019,6.4
CDI,28/05/2019,6.4
CDI,27/05/2019,6.4
CDI,24/05/2019,6.4
CDI,23/05/2019,6.4
CDI,22/05/2019,6.4
CDI,21/05/2019,6.4
CDI,20/05/2019,6.4
CDI,17/05/2019,6.4
CDI,16/05/2019,6.4
CDI,15/05/2019,6.4
CDI,14/05/2019,6.4
CDI,13/05/2019,6.4
CDI,10/05/2019,6.4
CDI,09/05/2019,6.4
CDI,08/05/2019,6.4
CDI,07/05/2019,6.4
CDI,06/05/2019,6.4
CDI,03/05/2019,6.4
CDI,02/05/2019,6.4
CDI,30/04/2019,6.4
CDI,29/04/2019,6.4
CDI,26/04/2019,6.4
CDI,25/04/2019,6.4
CDI,24/04/2019,6.4
CDI,23/04/2019,6.4
CDI,22/04/2019,6.4
CDI,18/04/2019,6.4
CDI,17/04/2019,6.4
CDI,16/04/2019,6.4
CDI,15/04/2019,6.4
CDI,12/04/2019,6.4
CDI,11/04/2019,6.4
CDI,10/04/2019,6.4
CDI,09/04/2019,6.4
CDI,08/04/2019,6.4
CDI,05/04/2019,6.4
CDI,04/04/2019,6.4
CDI,03/04/2019,6.4
CDI,02/04/2019,6.4
CDI,01/04/2019,6.4
CDI,29/03/2019,6.4
CDI,28/03/2019,6.4
CDI,27/03/2019,6.4
CDI,26/03/2019,6.4
CDI,25/03/2019,6.4
CDI,22/03/2019,6.4
CDI,21/03/2019,6.4
CDI,20/03/2019,6.4
CDI,19/03/2019,6.4
CDI,18/03/2019,6.4
CDI,15/03/2019,6.4
CDI,14/03/2019,6.4
CDI,13/03/2019,6.4
CDI,12/03/2019,6.4
CDI,11/03/2019,6.4
CDI,08/03/2019,6.4
CDI,07/03/2019,6.4
CDI,06/03/2019,6.4
CDI,01/03/2019,6.4
CDI,28/02/2019,6.4
CDI,27/02/2019,6.4
CDI,26/02/2019,6.4
CDI,25/02/2019,6.4
CDI,22/02/2019,6.4
CDI,21/02/2019,6.4
CDI,20/02/2019,6.4
CDI,19/02/2019,6.4
CDI,18/02/2019,6.4
CDI,15/02/2019,6.4
CDI,14/02/2019,6.4
CDI,13/02/2019,6.4
CDI,12/02/2019,6.4
CDI,11/02/2019,6.4
CDI,08/02/2019,6.4
CDI,07/02/2019,6.4
CDI,06/02/2019,6.4
CDI,05/02/2019,6.4
CDI,04/02/2019,6.4
CDI,01/02/2019,6.4
CDI,31/01/2019,6.4
CDI,30/01/2019,6.4
CDI,29/01/2019,6.4
CDI,28/01/2019,6.4
CDI,25/01/2019,6.4
CDI,24/01/2019,6.4
CDI,23/01/2019,6.4
CDI,22/01/2019,6.4
CDI,21/01/2019,6.4
CDI,18/01/2019,6.4
CDI,17/01/2019,6.4
CDI,16/01/2019,6.4
CDI,15/01/2019,6.4
CDI,14/01/2019,6.4
CDI,11/01/2019,6.4
CDI,10/01/2019,6.4
CDI,09/01/2019,6.4
CDI,08/01/2019,6.4
CDI,07/01/2019,6.4
CDI,04/01/2019,6.4
CDI,03/01/2019,6.4
CDI,02/01/2019,6.4
CDI,31/12/2018,6.4
CDI,28/12/2018,6.4
CDI,27/12/2018,6.4
CDI,26/12/2018,6.4
CDI,24/12/2018,6.4
CDI,21/12/2018,6.4
CDI,20/12/2018,6.4
CDI,19/12/2018,6.4
CDI,18/12/2018,6.4
CDI,17/12/2018,6.4
CDI,14/12/2018,6.4
CDI,13/12/2018,6.4
CDI,12/12/2018,6.4
CDI,11/12/2018,6.4
CDI,10/12/2018,6.4
CDI,07/12/2018,6.4
CDI,06/12/2018,6.4
CDI,05/12/2018,6.4
CDI,04/12/2018,6.4
CDI,03/12/2018,6.4
CDI,30/11/2018,6.4
CDI,29/11/2018,6.4
